"KeyType","KeyValue","Value","Description"
"Aggregate","GX","TAF","Kasser eller paneler til fordeling af forsyningsspænding."
"Aggregate","GA","UNF","Underfordelere"
"Aggregate","GB","UNF","Underfordelere"
"Aggregate","GC","UNF","Underfordelere, Kan opdeles efter aftale"
"Aggregate","GD","UNF","Underfordelere"
"Aggregate","GE","UNF","Underfordelere"
"Aggregate","GF","UNF","Underfordelere generelt."
"Aggregate","GG","UNF","Gennemføringer, kabler."
"Aggregate","GH","UNF","Indbygningsenheder - processorienteret (skabe og kasser for E/SRO)"
"Aggregate","GJ","UNF","-"
"Aggregate","GK","UNF","Informations- og betjeningsudstyr for regneanlæg og automatiseringssystemer. Anvendes kun efter aftale."
"Aggregate","GL","UNF","-"
"Aggregate","GM","UNF","Underfordelere for telefon og telex."
"Aggregate","GP","UNF","Underfordelere for belysning."
"Aggregate","GW","UNF","Kasser eller paneler til fordeling af forsyningsspænding."
"Aggregate","GY","UNF","Underfordelere for kommunikationsanlæg."
"Aggregate","BQ","NO CLASS","Bæringer, traverser, rørgennemføringer, kranbaner, stålkonstruktioner."
"Aggregate","EA","NO CLASS",""
"Aggregate","EB","NO CLASS",""
"Aggregate","EC","NO CLASS",""
"Aggregate","ED","NO CLASS",""
"Aggregate","EE","NO CLASS",""
"Aggregate","EF","NO CLASS",""
"Aggregate","EG","NO CLASS",""
"Aggregate","EH","NO CLASS",""
"Aggregate","EJ","NO CLASS",""
"Aggregate","EK","NO CLASS",""
"Aggregate","EL","NO CLASS",""
"Aggregate","EM","NO CLASS",""
"Aggregate","EN","NO CLASS",""
"Aggregate","EP","NO CLASS",""
"Aggregate","EQ","NO CLASS",""
"Aggregate","ER","NO CLASS",""
"Aggregate","ES","NO CLASS",""
"Aggregate","ET","NO CLASS",""
"Aggregate","EU","NO CLASS",""
"Aggregate","EV","NO CLASS",""
"Aggregate","EW","NO CLASS",""
"Aggregate","EX","NO CLASS",""
"Aggregate","EY","NO CLASS",""
"Aggregate","EZ","NO CLASS",""
"Aggregate","FA","NO CLASS",""
"Aggregate","FB","NO CLASS",""
"Aggregate","FC","NO CLASS",""
"Aggregate","FD","NO CLASS",""
"Aggregate","FE","NO CLASS",""
"Aggregate","FF","NO CLASS",""
"Aggregate","FG","NO CLASS",""
"Aggregate","FH","NO CLASS",""
"Aggregate","FJ","NO CLASS",""
"Aggregate","FK","NO CLASS",""
"Aggregate","FL","NO CLASS",""
"Aggregate","FM","NO CLASS",""
"Aggregate","FN","NO CLASS",""
"Aggregate","FP","NO CLASS",""
"Aggregate","FQ","NO CLASS",""
"Aggregate","FR","NO CLASS",""
"Aggregate","FS","NO CLASS",""
"Aggregate","FT","NO CLASS",""
"Aggregate","FU","NO CLASS",""
"Aggregate","FV","NO CLASS",""
"Aggregate","FW","NO CLASS",""
"Aggregate","FX","NO CLASS",""
"Aggregate","FY","NO CLASS",""
"Aggregate","GN","NO CLASS","-"
"Component","-A","ELF","APPARATKOMBINATION, ELEKTRONIKKORT"
"Component","-B","GIV","ANALOG GIVERE (LOKAL), OMSÆTTERE AF IKKE ELEKTRISK TIL ELEKTRISK STØRRELSE ELLER OMVENDT"
"Component","-C","NO CLASS","KONDENSATORER"
"Component","-D","GIV","TIDSFORSINKELSES-, HUKOMMELSES-, LOGISKE ELEMENTER OG BINÆRE STYRINGSELEMENTER"
"Component","-E","ELF","SPECIELLE KOMPONENTER"
"Component","-F","GIV","BINÆRE GIVERE (LOKAL) OG BESKYTTELSESKOMPONENTER"
"Component","-G","ELF","STRØMFORSYNING, ENSRETTERE OG VEKSELRETTERE"
"Component","-H","GIV","MELDEINDRETNINGER, SIGNALKOMPONENTER"
"Component","-J","ELF","MEKANISKE INDRETNINGER TIL ELEKTROTEKNISK UDSTYR ANBRAGT LOKALT"
"Component","-K","NO CLASS","RELÆER"
"Component","KA","MKP_VA","Skydeventiler, ventiler, klapper, haner, ventilblokke, prøveventiler"
"Component","KB","MKP","Porte, døre"
"Component","KC","MKP_HE","Varmevekslere"
"Component","KD","MKP_TA","Beholder, udligningsbeholder, bassin"
"Component","KE","MKP","Dreje-, køre-, løfte-, svingemaskineri"
"Component","KF","MKP","Transportører, tildelere"
"Component","KJ","MKP","Knusemaskiner"
"Component","KK","MKP","Presse-, pakkemaskiner"
"Component","KM","MKP","Blander, omrører"
"Component","KN","MKP_FA","Kompressorer, ventilatorer (for gasformige medier)"
"Component","KP","MKP_PU","Pumper (for flydende medier)"
"Component","KT","MKP_FI","Rensemaskiner, tørrer, separatorer, filtre, kationfiltre"
"Component","KU","ELF","Omsættere, f.eks. kraftforstærkere"
"Component","KV","MKP","Brændere, riste"
"Component","KW","MKP","Stationære bearbejdningsmaskiner (værktøjsmaskiner)"
"Component","-L","NO CLASS","REAKTANSER"
"Component","-M","ELF","MOTORER"
"Component","MB","MKP","Bremser"
"Component","MF","MKP","Fundamenter"
"Component","MG","MKP","Gear"
"Component","MK","MKP","Koblinger"
"Component","MM","MKP","Motorer (ikke elektriske)"
"Component","MN","MKP_PU","Pumper, ejektorer, injektorer."
"Component","MP","MKP","Permanente tilslutninger (hvis MQ ikke er nok)"
"Component","MQ","MKP","Uopløselige forbindelser, fx svejsesøm, klæbende sammenkoblinger"
"Component","MR","MKP_PI","Rørledningsdele, kanaldele"
"Component","MS","MKP_AC","Drev (ikke elektriske)"
"Component","MT","MKP","Turbiner"
"Component","MU","MKP","Overdragerelementer, f.eks. stangtræk, faste og bøjelige aksler"
"Component","MV","MKP","Hængerer tilbehør, stativer, rørgennemføringer"
"Component","-N","GIV","FORSTÆRKERE, REGULATORER"
"Component","NB","MKP",""
"Component","NC","MKP",""
"Component","ND","MKP",""
"Component","NE","MKP",""
"Component","NF","MKP",""
"Component","NG","MKP",""
"Component","NH","MKP",""
"Component","-P","GIV","MÅLEUDSTYR, PRØVEUDSTYR OG INSTRUMENTER"
"Component","-Q","TAF","STRÆKSTRØMSOMKOBLINGSKOMPONENTER"
"Component","QB","MKP","Måleværdigivere, f.eks. måleblænder, måledyser, venturidyser, prøveudtagssonder (undtagen QP)"
"Component","QH","GIV","Meldeudstyr, stillingsvisere (binær)"
"Component","QN","MKP","Regulatorer (mekaniske)"
"Component","QP","GIV","Måleudstyr, prøveudstyr, f.eks. lokale visninger af tryk, temperatur, niveau incl. kontakttermometre, kontaktmanometre mv. (analog visning)"
"Component","QR","MKP_PI","Målerør, impulsledninger"
"Component","QS","MKP_TA","Udligningsbeholdere, slampotter, kondenspotter mv."
"Component","QT","MAA","Termolommer, beskyttelsesrør, halsrør (kun til beskyttelse af måleværdigivere)"
"Component","QU","MKP","Omsættere, f.eks. pneumatiske"
"Component","-R","NO CLASS","MODSTANDE (FASTE OG VARIABLE)"
"Component","-S","ELF","BETJENINGSKOMPONENTER, OMSKIFTERE OG VÆLGERE"
"Component","-T","ELF","TRANSFORMATORER"
"Component","-U","GIV","MÅLEVÆRDIOMFORMERE, OMSÆTTER AF ELEKTRISK TIL ANDEN ELEKTRISK STØRRELSE"
"Component","-V","NO CLASS","HALVLEDERE OG ELEKTRONIKRØR"
"Component","-W","KAB","KABLER, LYSLEDERE, SAMLESKINNER OG ANTENNER"
"Component","-X","UNF","KLEMRÆKKE"
"Component","XA","SIGNAL",""
"Component","XB","SIGNAL",""
"Component","XC","SIGNAL",""
"Component","XD","SIGNAL",""
"Component","XE","SIGNAL",""
"Component","XF","SIGNAL",""
"Component","XG","SIGNAL",""
"Component","XH","SIGNAL",""
"Component","XJ","SIGNAL",""
"Component","XK","SIGNAL",""
"Component","XL","SIGNAL",""
"Component","XM","SIGNAL",""
"Component","XN","SIGNAL",""
"Component","XP","SIGNAL",""
"Component","XQ","SIGNAL",""
"Component","XR","SIGNAL",""
"Component","XS","SIGNAL",""
"Component","XT","SIGNAL",""
"Component","XU","SIGNAL",""
"Component","XV","SIGNAL",""
"Component","XW","SIGNAL",""
"Component","XX","SIGNAL",""
"Component","XY","SIGNAL",""
"Component","XZ","SIGNAL",""
"Component","-Y","ELF","ELEKTRISK BETJENTE MEKANISKE KOMPONENTER"
"Component","YA","SIGNAL",""
"Component","YB","SIGNAL",""
"Component","YC","SIGNAL",""
"Component","YD","SIGNAL",""
"Component","YE","SIGNAL",""
"Component","YF","SIGNAL",""
"Component","YG","SIGNAL",""
"Component","YH","SIGNAL",""
"Component","YJ","SIGNAL",""
"Component","YK","SIGNAL",""
"Component","YL","SIGNAL",""
"Component","YM","SIGNAL",""
"Component","YN","SIGNAL",""
"Component","YP","SIGNAL",""
"Component","YQ","SIGNAL",""
"Component","YR","SIGNAL",""
"Component","YS","SIGNAL",""
"Component","YT","SIGNAL",""
"Component","YU","SIGNAL",""
"Component","YV","SIGNAL",""
"Component","YW","SIGNAL",""
"Component","YX","SIGNAL",""
"Component","YY","SIGNAL",""
"Component","YZ","SIGNAL",""
"Component","ZA","SIGNAL",""
"Component","ZB","SIGNAL",""
"Component","ZC","SIGNAL",""
"Component","ZD","SIGNAL",""
"Component","ZE","SIGNAL",""
"Component","ZF","SIGNAL",""
"Component","ZG","SIGNAL",""
"Component","ZH","SIGNAL",""
"Component","ZJ","SIGNAL",""
"Component","ZK","SIGNAL",""
"Component","ZL","SIGNAL",""
"Component","ZM","SIGNAL",""
"Component","ZN","SIGNAL",""
"Component","ZP","SIGNAL",""
"Component","ZQ","SIGNAL",""
"Component","ZR","SIGNAL",""
"Component","ZS","SIGNAL",""
"Component","ZT","SIGNAL",""
"Component","ZU","SIGNAL",""
"Component","ZV","SIGNAL",""
"Component","ZW","SIGNAL",""
"Component","ZX","SIGNAL",""
"Component","ZY","SIGNAL",""
"Component","ZZ","SIGNAL",""
"Component","-Z","MKP","TILPASNINGS- OG UDLIGNINGKOMPONENTER, FILTRE, KABELMUFFER"
"Function","A","",""
"Function","AB","",""
"Function","ABA","",""
"Function","ABB","",""
"Function","ABC","",""
"Function","ABD","",""
"Function","ABE","",""
"Function","ABF","",""
"Function","ABG","",""
"Function","ABH","",""
"Function","ABJ","",""
"Function","ABK","",""
"Function","ABL","",""
"Function","ABM","",""
"Function","ABN","",""
"Function","ABP","",""
"Function","ABQ","",""
"Function","ABR","",""
"Function","ABS","",""
"Function","ABT","",""
"Function","ABU","",""
"Function","ABV","",""
"Function","ABW","",""
"Function","ABX","",""
"Function","ABY","",""
"Function","ABZ","",""
"Function","AC","",""
"Function","ACA","",""
"Function","ACB","",""
"Function","ACC","",""
"Function","ACD","",""
"Function","ACE","",""
"Function","ACF","",""
"Function","ACG","",""
"Function","ACH","",""
"Function","ACJ","",""
"Function","ACK","",""
"Function","ACL","",""
"Function","ACM","",""
"Function","ACN","",""
"Function","ACP","",""
"Function","ACQ","",""
"Function","ACR","",""
"Function","ACS","",""
"Function","ACT","",""
"Function","ACU","",""
"Function","ACV","",""
"Function","ACW","",""
"Function","ACX","",""
"Function","ACY","",""
"Function","ACZ","",""
"Function","AD","",""
"Function","ADA","",""
"Function","ADB","",""
"Function","ADC","",""
"Function","ADD","",""
"Function","ADE","",""
"Function","ADF","",""
"Function","ADG","",""
"Function","ADH","",""
"Function","ADJ","",""
"Function","ADK","",""
"Function","ADL","",""
"Function","ADM","",""
"Function","ADN","",""
"Function","ADP","",""
"Function","ADQ","",""
"Function","ADR","",""
"Function","ADS","",""
"Function","ADT","",""
"Function","ADU","",""
"Function","ADV","",""
"Function","ADW","",""
"Function","ADX","",""
"Function","ADY","",""
"Function","ADZ","",""
"Function","AE","",""
"Function","AEA","",""
"Function","AEB","",""
"Function","AEC","",""
"Function","AED","",""
"Function","AEE","",""
"Function","AEF","",""
"Function","AEG","",""
"Function","AEH","",""
"Function","AEJ","",""
"Function","AEK","",""
"Function","AEL","",""
"Function","AEM","",""
"Function","AEN","",""
"Function","AEP","",""
"Function","AEQ","",""
"Function","AER","",""
"Function","AES","",""
"Function","AET","",""
"Function","AEU","",""
"Function","AEV","",""
"Function","AEW","",""
"Function","AEX","",""
"Function","AEY","",""
"Function","AEZ","",""
"Function","AF","",""
"Function","AFA","",""
"Function","AFB","",""
"Function","AFC","",""
"Function","AFD","",""
"Function","AFE","",""
"Function","AFF","",""
"Function","AFG","",""
"Function","AFH","",""
"Function","AFJ","",""
"Function","AFK","",""
"Function","AFL","",""
"Function","AFM","",""
"Function","AFN","",""
"Function","AFP","",""
"Function","AFQ","",""
"Function","AFR","",""
"Function","AFS","",""
"Function","AFT","",""
"Function","AFU","",""
"Function","AFV","",""
"Function","AFW","",""
"Function","AFX","",""
"Function","AFY","",""
"Function","AFZ","",""
"Function","AG","",""
"Function","AGA","",""
"Function","AGB","",""
"Function","AGC","",""
"Function","AGD","",""
"Function","AGE","",""
"Function","AGF","",""
"Function","AGG","",""
"Function","AGH","",""
"Function","AGJ","",""
"Function","AGK","",""
"Function","AGL","",""
"Function","AGM","",""
"Function","AGN","",""
"Function","AGP","",""
"Function","AGQ","",""
"Function","AGR","",""
"Function","AGS","",""
"Function","AGT","",""
"Function","AGU","",""
"Function","AGV","",""
"Function","AGW","",""
"Function","AGX","",""
"Function","AGY","",""
"Function","AGZ","",""
"Function","AH","",""
"Function","AHA","",""
"Function","AHB","",""
"Function","AHC","",""
"Function","AHD","",""
"Function","AHE","",""
"Function","AHF","",""
"Function","AHG","",""
"Function","AHH","",""
"Function","AHJ","",""
"Function","AHK","",""
"Function","AHL","",""
"Function","AHM","",""
"Function","AHN","",""
"Function","AHP","",""
"Function","AHQ","",""
"Function","AHR","",""
"Function","AHS","",""
"Function","AHT","",""
"Function","AHU","",""
"Function","AHV","",""
"Function","AHW","",""
"Function","AHX","",""
"Function","AHY","",""
"Function","AHZ","",""
"Function","AJ","",""
"Function","AJA","",""
"Function","AJB","",""
"Function","AJC","",""
"Function","AJD","",""
"Function","AJE","",""
"Function","AJF","",""
"Function","AJG","",""
"Function","AJH","",""
"Function","AJJ","",""
"Function","AJK","",""
"Function","AJL","",""
"Function","AJM","",""
"Function","AJN","",""
"Function","AJP","",""
"Function","AJQ","",""
"Function","AJR","",""
"Function","AJS","",""
"Function","AJT","",""
"Function","AJU","",""
"Function","AJV","",""
"Function","AJW","",""
"Function","AJX","",""
"Function","AJY","",""
"Function","AJZ","",""
"Function","AK","",""
"Function","AKA","",""
"Function","AKB","",""
"Function","AKC","",""
"Function","AKD","",""
"Function","AKE","",""
"Function","AKF","",""
"Function","AKG","",""
"Function","AKH","",""
"Function","AKJ","",""
"Function","AKK","",""
"Function","AKL","",""
"Function","AKM","",""
"Function","AKN","",""
"Function","AKP","",""
"Function","AKQ","",""
"Function","AKR","",""
"Function","AKS","",""
"Function","AKT","",""
"Function","AKU","",""
"Function","AKV","",""
"Function","AKW","",""
"Function","AKX","",""
"Function","AKY","",""
"Function","AKZ","",""
"Function","AL","",""
"Function","ALA","",""
"Function","ALB","",""
"Function","ALC","",""
"Function","ALD","",""
"Function","ALE","",""
"Function","ALF","",""
"Function","ALG","",""
"Function","ALH","",""
"Function","ALJ","",""
"Function","ALK","",""
"Function","ALL","",""
"Function","ALM","",""
"Function","ALN","",""
"Function","ALP","",""
"Function","ALQ","",""
"Function","ALR","",""
"Function","ALS","",""
"Function","ALT","",""
"Function","ALU","",""
"Function","ALV","",""
"Function","ALW","",""
"Function","ALX","",""
"Function","ALY","",""
"Function","ALZ","",""
"Function","AM","",""
"Function","AMA","",""
"Function","AMB","",""
"Function","AMC","",""
"Function","AMD","",""
"Function","AME","",""
"Function","AMF","",""
"Function","AMG","",""
"Function","AMH","",""
"Function","AMJ","",""
"Function","AMK","",""
"Function","AML","",""
"Function","AMM","",""
"Function","AMN","",""
"Function","AMP","",""
"Function","AMQ","",""
"Function","AMR","",""
"Function","AMS","",""
"Function","AMT","",""
"Function","AMU","",""
"Function","AMV","",""
"Function","AMW","",""
"Function","AMX","",""
"Function","AMY","",""
"Function","AMZ","",""
"Function","AN","",""
"Function","ANA","",""
"Function","ANB","",""
"Function","ANC","",""
"Function","ANE","",""
"Function","ANF","",""
"Function","ANG","",""
"Function","ANH","",""
"Function","ANK","",""
"Function","ANL","",""
"Function","ANM","",""
"Function","ANN","",""
"Function","ANQ","",""
"Function","ANR","",""
"Function","ANS","",""
"Function","ANU","",""
"Function","ANV","",""
"Function","ANW","",""
"Function","AP","",""
"Function","APA","",""
"Function","APB","",""
"Function","APC","",""
"Function","APD","",""
"Function","APE","",""
"Function","APF","",""
"Function","APG","",""
"Function","APH","",""
"Function","APJ","",""
"Function","APK","",""
"Function","APL","",""
"Function","APM","",""
"Function","APN","",""
"Function","APP","",""
"Function","APQ","",""
"Function","APR","",""
"Function","APS","",""
"Function","APT","",""
"Function","APU","",""
"Function","APV","",""
"Function","APW","",""
"Function","APX","",""
"Function","APY","",""
"Function","APZ","",""
"Function","AQ","",""
"Function","AQA","",""
"Function","AQB","",""
"Function","AQC","",""
"Function","AQD","",""
"Function","AQE","",""
"Function","AQF","",""
"Function","AQG","",""
"Function","AQH","",""
"Function","AQJ","",""
"Function","AQK","",""
"Function","AQL","",""
"Function","AQM","",""
"Function","AQN","",""
"Function","AQP","",""
"Function","AQQ","",""
"Function","AQR","",""
"Function","AQS","",""
"Function","AQT","",""
"Function","AQU","",""
"Function","AQV","",""
"Function","AQW","",""
"Function","AQX","",""
"Function","AQY","",""
"Function","AQZ","",""
"Function","AR","",""
"Function","ARA","",""
"Function","ARB","",""
"Function","ARC","",""
"Function","ARD","",""
"Function","ARE","",""
"Function","ARF","",""
"Function","ARG","",""
"Function","ARH","",""
"Function","ARJ","",""
"Function","ARK","",""
"Function","ARL","",""
"Function","ARM","",""
"Function","ARN","",""
"Function","ARP","",""
"Function","ARQ","",""
"Function","ARR","",""
"Function","ARS","",""
"Function","ART","",""
"Function","ARU","",""
"Function","ARV","",""
"Function","ARW","",""
"Function","ARX","",""
"Function","ARY","",""
"Function","ARZ","",""
"Function","AS","",""
"Function","ASA","",""
"Function","ASB","",""
"Function","ASC","",""
"Function","ASD","",""
"Function","ASJ","",""
"Function","ASL","",""
"Function","ASM","",""
"Function","ASN","",""
"Function","ASP","",""
"Function","ASQ","",""
"Function","ASR","",""
"Function","ASS","",""
"Function","AST","",""
"Function","ASU","",""
"Function","ASV","",""
"Function","ASW","",""
"Function","ASX","",""
"Function","AT","",""
"Function","ATA","",""
"Function","ATB","",""
"Function","ATC","",""
"Function","ATD","",""
"Function","ATE","",""
"Function","ATF","",""
"Function","ATG","",""
"Function","ATH","",""
"Function","ATJ","",""
"Function","ATK","",""
"Function","ATL","",""
"Function","ATM","",""
"Function","ATN","",""
"Function","ATP","",""
"Function","ATQ","",""
"Function","ATR","",""
"Function","ATS","",""
"Function","ATT","",""
"Function","ATU","",""
"Function","ATV","",""
"Function","ATW","",""
"Function","ATX","",""
"Function","ATY","",""
"Function","ATZ","",""
"Function","AU","",""
"Function","AUA","",""
"Function","AUB","",""
"Function","AUC","",""
"Function","AUD","",""
"Function","AUE","",""
"Function","AUF","",""
"Function","AUG","",""
"Function","AUH","",""
"Function","AUJ","",""
"Function","AUK","",""
"Function","AUL","",""
"Function","AUM","",""
"Function","AUN","",""
"Function","AUP","",""
"Function","AUQ","",""
"Function","AUR","",""
"Function","AUS","",""
"Function","AUT","",""
"Function","AUU","",""
"Function","AUV","",""
"Function","AUW","",""
"Function","AUX","",""
"Function","AUY","",""
"Function","AUZ","",""
"Function","AV","",""
"Function","AVA","",""
"Function","AVB","",""
"Function","AVC","",""
"Function","AVD","",""
"Function","AVE","",""
"Function","AVF","",""
"Function","AVG","",""
"Function","AVH","",""
"Function","AVJ","",""
"Function","AVK","",""
"Function","AVL","",""
"Function","AVM","",""
"Function","AVN","",""
"Function","AVP","",""
"Function","AVQ","",""
"Function","AVR","",""
"Function","AVS","",""
"Function","AVT","",""
"Function","AVU","",""
"Function","AVV","",""
"Function","AVW","",""
"Function","AVX","",""
"Function","AVY","",""
"Function","AVZ","",""
"Function","AW","",""
"Function","AWA","",""
"Function","AWB","",""
"Function","AWC","",""
"Function","AWD","",""
"Function","AWE","",""
"Function","AWF","",""
"Function","AWG","",""
"Function","AWH","",""
"Function","AWJ","",""
"Function","AWK","",""
"Function","AWL","",""
"Function","AWM","",""
"Function","AWN","",""
"Function","AWP","",""
"Function","AWQ","",""
"Function","AWR","",""
"Function","AWS","",""
"Function","AWT","",""
"Function","AWU","",""
"Function","AWV","",""
"Function","AWW","",""
"Function","AWX","",""
"Function","AWY","",""
"Function","AWZ","",""
"Function","AX","",""
"Function","AXA","",""
"Function","AXB","",""
"Function","AXC","",""
"Function","AXD","",""
"Function","AXE","",""
"Function","AXF","",""
"Function","AXG","",""
"Function","AXH","",""
"Function","AXJ","",""
"Function","AXK","",""
"Function","AXL","",""
"Function","AXM","",""
"Function","AXN","",""
"Function","AXP","",""
"Function","AXQ","",""
"Function","AXR","",""
"Function","AXS","",""
"Function","AXT","",""
"Function","AXU","",""
"Function","AXV","",""
"Function","AXW","",""
"Function","AXX","",""
"Function","AXY","",""
"Function","AXZ","",""
"Function","AY","",""
"Function","AYA","",""
"Function","AYB","",""
"Function","AYC","",""
"Function","AYD","",""
"Function","AYE","",""
"Function","AYF","",""
"Function","AYG","",""
"Function","AYH","",""
"Function","AYJ","",""
"Function","AYK","",""
"Function","AYL","",""
"Function","AYM","",""
"Function","AYN","",""
"Function","AYP","",""
"Function","AYQ","",""
"Function","AYS","",""
"Function","B","",""
"Function","BA","",""
"Function","BAB","",""
"Function","BAC","",""
"Function","BAE","",""
"Function","BAS","",""
"Function","BAT","",""
"Function","BAU","",""
"Function","BAX","",""
"Function","BAY","",""
"Function","BB","",""
"Function","BBA","",""
"Function","BBB","",""
"Function","BBC","",""
"Function","BBD","",""
"Function","BBE","",""
"Function","BBF","",""
"Function","BBG","",""
"Function","BBH","",""
"Function","BBJ","",""
"Function","BBK","",""
"Function","BBL","",""
"Function","BBM","",""
"Function","BBN","",""
"Function","BBP","",""
"Function","BBQ","",""
"Function","BBR","",""
"Function","BBS","",""
"Function","BBT","",""
"Function","BBX","",""
"Function","BBY","",""
