ClassKey;Characteristic;MaxLength;Pattern;Required;AllowedValues;SourceTable;FromStep
Equipment Numbers;Klasse data;40;.*;Nej;;;Equipment_Numbers
Equipment Numbers;ROOM (koordinater);8;.*;Nej;;;Equipment_Numbers
Equipment Numbers;Placering;30;.*;Nej;;;Equipment_Numbers
Equipment Numbers;Dokument type;30;.*;Nej;;;Equipment_Numbers
Equipment Numbers;Dokument link;255;.*;Nej;;;Equipment_Numbers
GIV;Atex;;;;X;;Verify_Master_Data_FL
GIV;Risiko;;;;X;;Verify_Master_Data_FL
GIV;Asbestos;;;;X;;Verify_Master_Data_FL
GIV;PTW;;;;X;;Verify_Master_Data_FL
GIV;ABC Indic.;;;;A;;Verify_Master_Data_FL
GIV;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
GIV;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
GIV;Description;40;.*;Ja;;;Verify_Master_Data_FL
GIV;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
GIV;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
GIV;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
GIV;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
GIV;Room;8;.*;Nej;;;Verify_Master_Data_FL
GIV;IP class;30;.*;Nej;;;GIV
GIV;Junction box;18;.*;Nej;;;GIV
GIV;Mechanical measur. range from;30;.*;Nej;;;GIV
GIV;Mechanical measuring range to;12;.*;Nej;;;GIV
GIV;Mechanical measuring range uom;17;.*;Nej;;;GIV
GIV;Output value;30;.*;Nej;;;GIV
GIV;Output value uom;18;.*;Nej;;;GIV
GIV;Remarks;30;.*;Nej;;;GIV
GIV;Signal applications;20;.*;Nej;;;GIV
GIV;Supply from;30;.*;Nej;;;GIV
GIV;Other Information;30;.*;Nej;;;GIV
GIV;Owner;30;.*;Nej;;;GIV
GIV;Safety Critical Equipment;;;;;SCEq;TRMNEW
GIV;EX-Marking;30;.*;Nej;;;TRMNEW
GIV;Operating temperature uom;;;;;Design_Temp_uom;Operating_temperature_
GIV;Operating temperature;10;^[0-9.,\-\/\+]*$;Nej;;;Operating_temperature_
GIV;Operating pressure uom;;;;;Design_pressure_uom;Operating_pressure_
GIV;Operating pressure;12;^[0-9.,\-\/\+]*$;Nej;;;Operating_pressure_
GIV;Test Method;;;;;TestMethod;TestMethod
GIV;Test Method 2;;;;;TestMethod;TestMethod
GIV;Typekredse;;;;;TypekredsTabel;Typekreds
KAB;Atex;;;;X;;Verify_Master_Data_FL
KAB;Risiko;;;;X;;Verify_Master_Data_FL
KAB;Asbestos;;;;X;;Verify_Master_Data_FL
KAB;PTW;;;;X;;Verify_Master_Data_FL
KAB;ABC Indic.;;;;A;;Verify_Master_Data_FL
KAB;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
KAB;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
KAB;Description;40;.*;Ja;;;Verify_Master_Data_FL
KAB;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
KAB;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
KAB;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
KAB;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
KAB;Room;8;.*;Nej;;;Verify_Master_Data_FL
KAB;Cable type;18;.*;Nej;;;KAB
KAB;Dimension;18;.*;Nej;;;KAB
KAB;Dimension uom;15;.*$;Nej;;;KAB
KAB;Drawn cable length [m];5;^[0-9,]*$;Nej;;;KAB
KAB;From functional location;30;.*;Nej;;;KAB
KAB;To functional location;30;.*;Nej;;;KAB
KAB;Voltage [V];7;^[0-9,]*$;Nej;;;KAB
KAB;Remarks;30;.*;Nej;;;KAB
MAA;Atex;;;;X;;Verify_Master_Data_FL
MAA;Risiko;;;;X;;Verify_Master_Data_FL
MAA;Asbestos;;;;X;;Verify_Master_Data_FL
MAA;PTW;;;;X;;Verify_Master_Data_FL
MAA;ABC Indic.;;;;A;;Verify_Master_Data_FL
MAA;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
MAA;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
MAA;Description;40;.*;Ja;;;Verify_Master_Data_FL
MAA;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
MAA;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
MAA;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
MAA;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
MAA;Room;8;.*;Nej;;;Verify_Master_Data_FL
MAA;Medium;20;.*;Nej;;;MAA
MAA;Remarks;30;.*;Nej;;;MAA
MAA;Design pressure uom;;;;;Design_pressure_uom;Design_pressure_
MAA;Design pressure;12;^[0-9.,\-\/\+]*$;Nej;;;Design_pressure_
MAA;Design temperature uom;;;;;Design_Temp_uom;Design_temperature_
MAA;Design temperature;8;^[0-9.,\-\/\+]*$;Nej;;;Design_temperature_
MAA;Safety Critical Equipment;;;;;SCEq;TRMNEW
MAA;EX-Marking;30;.*;Nej;;;TRMNEW
MKP;Atex;;;;X;;Verify_Master_Data_FL
MKP;Risiko;;;;X;;Verify_Master_Data_FL
MKP;Asbestos;;;;X;;Verify_Master_Data_FL
MKP;PTW;;;;X;;Verify_Master_Data_FL
MKP;ABC Indic.;;;;A;;Verify_Master_Data_FL
MKP;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
MKP;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
MKP;Description;40;.*;Ja;;;Verify_Master_Data_FL
MKP;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
MKP;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
MKP;Room;8;.*;Nej;;;Verify_Master_Data_FL
MKP;Remarks;30;.*;Nej;;;MKP
MKP;Safety Critical Equipment;;;;;SCEq;TRMNEW
MKP;Fire Classification;;;;;FireClassification;TRMNEW
MKP;Fire Sealing Type;;;;;Table20;TRMNEW
MKP;EX-Marking;30;.*;Nej;;;TRMNEW
MKP;Fire Sealing Product;30;.*;Nej;;;TRMNEW
MKP_AC;Atex;;;;X;;Verify_Master_Data_FL
MKP_AC;Risiko;;;;X;;Verify_Master_Data_FL
MKP_AC;Asbestos;;;;X;;Verify_Master_Data_FL
MKP_AC;PTW;;;;X;;Verify_Master_Data_FL
MKP_AC;ABC Indic.;;;;A;;Verify_Master_Data_FL
MKP_AC;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
MKP_AC;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
MKP_AC;Description;40;.*;Ja;;;Verify_Master_Data_FL
MKP_AC;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
MKP_AC;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_AC;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_AC;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
MKP_AC;Room;8;.*;Nej;;;Verify_Master_Data_FL
MKP_AC;Close torque in Nm;10;^[0-9.,]*$;Nej;;;MKP_AC
MKP_AC;Drive time requirements in sec;10;^[0-9.,]*$;Nej;;;MKP_AC
MKP_AC;Open torque in Nm;10;^[0-9.,]*$;Nej;;;MKP_AC
MKP_AC;Remarks;30;.*;Nej;;;MKP_AC
MKP_AC;Safety Critical Equipment;;;;;SCEq;TRMNEW
MKP_AC;EX-Marking;30;.*;Nej;;;TRMNEW
MKP_FA;Atex;;;;X;;Verify_Master_Data_FL
MKP_FA;Risiko;;;;X;;Verify_Master_Data_FL
MKP_FA;Asbestos;;;;X;;Verify_Master_Data_FL
MKP_FA;PTW;;;;X;;Verify_Master_Data_FL
MKP_FA;ABC Indic.;;;;A;;Verify_Master_Data_FL
MKP_FA;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
MKP_FA;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
MKP_FA;Description;40;.*;Ja;;;Verify_Master_Data_FL
MKP_FA;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
MKP_FA;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_FA;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_FA;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
MKP_FA;Room;8;.*;Nej;;;Verify_Master_Data_FL
MKP_FA;Medium;20;.*;Nej;;;MKP_FA
MKP_FA;Remarks;30;.*;Nej;;;MKP_FA
MKP_FA;Safety Critical Equipment;;;;;SCEq;TRMNEW
MKP_FA;EX-Marking;30;.*;Nej;;;TRMNEW
MKP_FA;Design pressure uom;;;;;Design_pressure_uom;Design_pressure_
MKP_FA;Design pressure;12;^[0-9.,\-\/\+]*$;Nej;;;Design_pressure_
MKP_FA;Design temperature uom;;;;;Design_Temp_uom;Design_temperature_
MKP_FA;Design temperature;8;^[0-9.,\-\/\+]*$;Nej;;;Design_temperature_
MKP_FA;Design flow uom;;;;;Design_flow_uom;Design_flow_
MKP_FA;Design flow;10;^[0-9.,\-\/\+]*$;Nej;;;Design_flow_
MKP_FI;Atex;;;;X;;Verify_Master_Data_FL
MKP_FI;Risiko;;;;X;;Verify_Master_Data_FL
MKP_FI;Asbestos;;;;X;;Verify_Master_Data_FL
MKP_FI;PTW;;;;X;;Verify_Master_Data_FL
MKP_FI;ABC Indic.;;;;A;;Verify_Master_Data_FL
MKP_FI;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
MKP_FI;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
MKP_FI;Description;40;.*;Ja;;;Verify_Master_Data_FL
MKP_FI;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
MKP_FI;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_FI;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_FI;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
MKP_FI;Room;8;.*;Nej;;;Verify_Master_Data_FL
MKP_FI;Control class (lovpligtig);5;.*;Nej;;;MKP_FI
MKP_FI;DN/Volume;15;.*;Nej;;;MKP_FI
MKP_FI;Medium;20;.*;Nej;;;MKP_FI
MKP_FI;Remarks;30;.*;Nej;;;MKP_FI
MKP_FI;Safety Critical Equipment;;;;;SCEq;TRMNEW
MKP_FI;EX-Marking;30;.*;Nej;;;TRMNEW
MKP_FI;Design pressure uom;;;;;Design_pressure_uom;Design_pressure_
MKP_FI;Design pressure;12;^[0-9.,\-\/\+]*$;Nej;;;Design_pressure_
MKP_FI;Design temperature uom;;;;;Design_Temp_uom;Design_temperature_
MKP_FI;Design temperature;8;^[0-9.,\-\/\+]*$;Nej;;;Design_temperature_
MKP_FI;Design flow uom;;;;;Design_flow_uom;Design_flow_
MKP_FI;Design flow;10;^[0-9.,\-\/\+]*$;Nej;;;Design_flow_
MKP_HE;Atex;;;;X;;Verify_Master_Data_FL
MKP_HE;Risiko;;;;X;;Verify_Master_Data_FL
MKP_HE;Asbestos;;;;X;;Verify_Master_Data_FL
MKP_HE;PTW;;;;X;;Verify_Master_Data_FL
MKP_HE;ABC Indic.;;;;A;;Verify_Master_Data_FL
MKP_HE;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
MKP_HE;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
MKP_HE;Description;40;.*;Ja;;;Verify_Master_Data_FL
MKP_HE;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
MKP_HE;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_HE;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_HE;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
MKP_HE;Room;8;.*;Nej;;;Verify_Master_Data_FL
MKP_HE;Secondary medium;30;.*;Nej;;;MKP_HE
MKP_HE;Primary medium;20;.*;Nej;;;MKP_HE
MKP_HE;Medium;20;.*;Nej;;;MKP_HE
MKP_HE;Remarks;30;.*;Nej;;;MKP_HE
MKP_HE;Safety Critical Equipment;;;;;SCEq;TRMNEW
MKP_HE;EX-Marking;30;.*;Nej;;;TRMNEW
MKP_HE;Design flow uom;;;;;Design_flow_uom;Design_flow_
MKP_HE;Design flow;10;^[0-9.,\-\/\+]*$;Nej;;;Design_flow_
MKP_PI;Atex;;;;X;;Verify_Master_Data_FL
MKP_PI;Risiko;;;;X;;Verify_Master_Data_FL
MKP_PI;Asbestos;;;;X;;Verify_Master_Data_FL
MKP_PI;PTW;;;;X;;Verify_Master_Data_FL
MKP_PI;ABC Indic.;;;;A;;Verify_Master_Data_FL
MKP_PI;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
MKP_PI;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
MKP_PI;Description;40;.*;Ja;;;Verify_Master_Data_FL
MKP_PI;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
MKP_PI;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_PI;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_PI;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
MKP_PI;Room;8;.*;Nej;;;Verify_Master_Data_FL
MKP_PI;Control class (lovpligtig);5;.*;Nej;;;MKP_PI
MKP_PI;DN/Volume;15;.*;Nej;;;MKP_PI
MKP_PI;Medium;20;.*;Nej;;;MKP_PI
MKP_PI;Remarks;30;.*;Nej;;;MKP_PI
MKP_PI;Safety Critical Equipment;;;;;SCEq;TRMNEW
MKP_PI;EX-Marking;30;.*;Nej;;;TRMNEW
MKP_PI;Design pressure uom;;;;;Design_pressure_uom;Design_pressure_
MKP_PI;Design pressure;12;^[0-9.,\-\/\+]*$;Nej;;;Design_pressure_
MKP_PI;Design temperature uom;;;;;Design_Temp_uom;Design_temperature_
MKP_PI;Design temperature;8;^[0-9.,\-\/\+]*$;Nej;;;Design_temperature_
MKP_PU;Atex;;;;X;;Verify_Master_Data_FL
MKP_PU;Risiko;;;;X;;Verify_Master_Data_FL
MKP_PU;Asbestos;;;;X;;Verify_Master_Data_FL
MKP_PU;PTW;;;;X;;Verify_Master_Data_FL
MKP_PU;ABC Indic.;;;;A;;Verify_Master_Data_FL
MKP_PU;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
MKP_PU;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
MKP_PU;Description;40;.*;Ja;;;Verify_Master_Data_FL
MKP_PU;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
MKP_PU;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_PU;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_PU;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
MKP_PU;Room;8;.*;Nej;;;Verify_Master_Data_FL
MKP_PU;Design lifting height;8;^[0-9.,]*$;Nej;;;MKP_PU
MKP_PU;Design lifting height uom;15;.*;Nej;;;MKP_PU
MKP_PU;Medium;20;.*;Nej;;;MKP_PU
MKP_PU;Remarks;30;.*;Nej;;;MKP_PU
MKP_PU;Safety Critical Equipment;;;;;SCEq;TRMNEW
MKP_PU;EX-Marking;30;.*;Nej;;;TRMNEW
MKP_PU;Design pressure uom;;;;;Design_pressure_uom;Design_pressure_
MKP_PU;Design pressure;12;^[0-9.,\-\/\+]*$;Nej;;;Design_pressure_
MKP_PU;Design temperature uom;;;;;Design_Temp_uom;Design_temperature_
MKP_PU;Design temperature;8;^[0-9.,\-\/\+]*$;Nej;;;Design_temperature_
MKP_PU;Design flow uom;;;;;Design_flow_uom;Design_flow_
MKP_PU;Design flow;10;^[0-9.,\-\/\+]*$;Nej;;;Design_flow_
MKP_TA;Atex;;;;X;;Verify_Master_Data_FL
MKP_TA;Risiko;;;;X;;Verify_Master_Data_FL
MKP_TA;Asbestos;;;;X;;Verify_Master_Data_FL
MKP_TA;PTW;;;;X;;Verify_Master_Data_FL
MKP_TA;ABC Indic.;;;;A;;Verify_Master_Data_FL
MKP_TA;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
MKP_TA;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
MKP_TA;Description;40;.*;Ja;;;Verify_Master_Data_FL
MKP_TA;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
MKP_TA;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_TA;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_TA;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
MKP_TA;Room;8;.*;Nej;;;Verify_Master_Data_FL
MKP_TA;Control class (lovpligtig);5;.*;Nej;;;MKP_TA
MKP_TA;DN/Volume;15;.*;Nej;;;MKP_TA
MKP_TA;Medium;20;.*;Nej;;;MKP_TA
MKP_TA;Remarks;30;.*;Nej;;;MKP_TA
MKP_TA;Safety Critical Equipment;;;;;SCEq;TRMNEW
MKP_TA;EX-Marking;30;.*;Nej;;;TRMNEW
MKP_TA;Design pressure uom;;;;;Design_pressure_uom;Design_pressure_
MKP_TA;Design pressure;12;^[0-9.,\-\/\+]*$;Nej;;;Design_pressure_
MKP_TA;Design temperature uom;;;;;Design_Temp_uom;Design_temperature_
MKP_TA;Design temperature;8;^[0-9.,\-\/\+]*$;Nej;;;Design_temperature_
MKP_VA;Atex;;;;X;;Verify_Master_Data_FL
MKP_VA;Risiko;;;;X;;Verify_Master_Data_FL
MKP_VA;Asbestos;;;;X;;Verify_Master_Data_FL
MKP_VA;PTW;;;;X;;Verify_Master_Data_FL
MKP_VA;ABC Indic.;;;;A;;Verify_Master_Data_FL
MKP_VA;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
MKP_VA;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
MKP_VA;Description;40;.*;Ja;;;Verify_Master_Data_FL
MKP_VA;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
MKP_VA;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_VA;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
MKP_VA;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
MKP_VA;Room;8;.*;Nej;;;Verify_Master_Data_FL
MKP_VA;DN/Volume;15;.*;Nej;;;MKP_VA
MKP_VA;Medium;20;.*;Nej;;;MKP_VA
MKP_VA;Remarks;30;.*;Nej;;;MKP_VA
MKP_VA;Safety Critical Equipment;;;;;SCEq;TRMNEW
MKP_VA;EX-Marking;30;.*;Nej;;;TRMNEW
MKP_VA;Design pressure uom;;;;;Design_pressure_uom;Design_pressure_
MKP_VA;Design pressure;12;^[0-9.,\-\/\+]*$;Nej;;;Design_pressure_
MKP_VA;Design temperature uom;;;;;Design_Temp_uom;Design_temperature_
MKP_VA;Design temperature;8;^[0-9.,\-\/\+]*$;Nej;;;Design_temperature_
MKP_VA;Design flow uom;;;;;Design_flow_uom;Design_flow_
MKP_VA;Design flow;10;^[0-9.,\-\/\+]*$;Nej;;;Design_flow_
NO CLASS;Safety Critical Equipment;;;;;SCEq;TRMNEW
NO CLASS;Fire Classification;;;;;FireClassification;TRMNEW
NO CLASS;Fire Sealing Type;;;;;Table20;TRMNEW
NO CLASS;EX-Marking;30;.*;Nej;;;TRMNEW
NO CLASS;Fire Sealing Product;30;.*;Nej;;;TRMNEW
NO CLASS;Atex;;;;X;;Verify_Master_Data_FL
NO CLASS;Risiko;;;;X;;Verify_Master_Data_FL
NO CLASS;Asbestos;;;;X;;Verify_Master_Data_FL
NO CLASS;PTW;;;;X;;Verify_Master_Data_FL
NO CLASS;ABC Indic.;;;;A;;Verify_Master_Data_FL
NO CLASS;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
NO CLASS;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
NO CLASS;Description;40;.*;Ja;;;Verify_Master_Data_FL
NO CLASS;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
NO CLASS;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
NO CLASS;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
NO CLASS;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
NO CLASS;Room;8;.*;Nej;;;Verify_Master_Data_FL
RBR;Atex;;;;X;;Verify_Master_Data_FL
RBR;Risiko;;;;X;;Verify_Master_Data_FL
RBR;Asbestos;;;;X;;Verify_Master_Data_FL
RBR;PTW;;;;X;;Verify_Master_Data_FL
RBR;ABC Indic.;;;;A;;Verify_Master_Data_FL
RBR;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
RBR;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
RBR;Description;40;.*;Ja;;;Verify_Master_Data_FL
RBR;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
RBR;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
RBR;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
RBR;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
RBR;Room;8;.*;Nej;;;Verify_Master_Data_FL
RBR;Design pos cold;10;.*;Nej;;;RBR
RBR;Design pos warm;10;.*;Nej;;;RBR
RBR;Direction of movement;17;.*;Nej;;;RBR
RBR;Remarks;30;.*;Nej;;;RBR
RBR;Setting cold vertical [kN];17;^[0-9.,]*$;Nej;;;RBR
RBR;Setting cold vertical [mm];17;^[0-9.,]*$;Nej;;;RBR
RBR;Setting warm vertical [kN];17;^[0-9.,]*$;Nej;;;RBR
RBR;Setting warm vertical [mm];17;^[0-9.,]*$;Nej;;;RBR
RBR;Safety Critical Equipment;;;;;SCEq;TRMNEW
RBR;EX-Marking;30;.*;Nej;;;TRMNEW
SIGNAL;Safety Critical Equipment;;;;;SCEq;TRMNEW
SIGNAL;EX-Marking;30;.*;Nej;;;TRMNEW
SIGNAL;Atex;;;;X;;Verify_Master_Data_FL
SIGNAL;Risiko;;;;X;;Verify_Master_Data_FL
SIGNAL;Asbestos;;;;X;;Verify_Master_Data_FL
SIGNAL;PTW;;;;X;;Verify_Master_Data_FL
SIGNAL;ABC Indic.;;;;A;;Verify_Master_Data_FL
SIGNAL;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
SIGNAL;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
SIGNAL;Description;40;.*;Ja;;;Verify_Master_Data_FL
SIGNAL;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
SIGNAL;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
SIGNAL;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
SIGNAL;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
SIGNAL;Room;8;.*;Nej;;;Verify_Master_Data_FL
TAF;Atex;;;;X;;Verify_Master_Data_FL
TAF;Risiko;;;;X;;Verify_Master_Data_FL
TAF;Asbestos;;;;X;;Verify_Master_Data_FL
TAF;PTW;;;;X;;Verify_Master_Data_FL
TAF;ABC Indic.;;;;A;;Verify_Master_Data_FL
TAF;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
TAF;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
TAF;Description;40;.*;Ja;;;Verify_Master_Data_FL
TAF;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
TAF;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
TAF;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
TAF;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
TAF;Room;8;.*;Nej;;;Verify_Master_Data_FL
TAF;Consumer FL;30;.*;Nej;;;TAF
TAF;Nominel current, compartment;10;.*;Nej;;;TAF
TAF;Remarks;30;.*;Nej;;;TAF
TAF;Voltage [V];7;^[0-9.,]*$;Nej;;;TAF
TAF;Safety Critical Equipment;;;;;SCEq;TRMNEW
TAF;EX-Marking;30;.*;Nej;;;TRMNEW
UNF;Atex;;;;X;;Verify_Master_Data_FL
UNF;Risiko;;;;X;;Verify_Master_Data_FL
UNF;Asbestos;;;;X;;Verify_Master_Data_FL
UNF;PTW;;;;X;;Verify_Master_Data_FL
UNF;ABC Indic.;;;;A;;Verify_Master_Data_FL
UNF;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
UNF;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
UNF;Description;40;.*;Ja;;;Verify_Master_Data_FL
UNF;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
UNF;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
